  991.106953	  315.782157	   14.569230
  151.240387	  314.564668	   12.941064	    5.482012	   -7.672486
  389.942719	  316.593279	   11.000101	    5.253194	   -5.580324
  635.223022	  318.881842	    9.697540	    4.369898	   -4.317898
  886.027588	  319.368107	    9.437328	    3.602573	   -3.345635
 1403.594238	  319.777767	    9.218046	    2.050937	   -0.992690
 1943.853149	  320.055868	    9.080302	    0.598635	    0.830374
 2509.211670	  320.290724	    8.983618	   -0.910076	    2.506946
 3102.450195	  320.466336	    8.716069	   -1.877126	    3.683535
 3727.180176	  321.215224	    7.382087	   -0.956856	    3.232144
 4389.308594	  322.598168	    6.091127	    1.202644	    0.935090
 5094.375000	  324.621977	    3.871980	    4.806706	   -1.280603
 5853.349609	  328.323330	    1.640874	    6.111628	   -5.000591
 6675.541992	  330.888326	    0.705661	    2.899792	   -6.664175
 7575.282227	  336.416432	    1.471764	   -0.894574	   -2.683899
 8579.329102	  343.188774	    0.331605	   -2.573862	   -3.484131
 9711.838867	  348.782207	    0.034825	   -0.814136	    1.069891
11006.671875	  353.419738	    0.086974	    1.435077	    3.080036
12520.565430	  357.253066	    0.066745	   -1.438388	    4.974408
14357.254883	  362.834076	    0.009818	   -2.303852	    5.161778
16756.603516	  377.667732	    0.008726	  -17.808575	   -4.708755
18797.326172	  422.748733	    0.006564	  -18.211550	    0.193511
20796.160156	  488.424186	    0.003700	  -23.716681	    1.473926
22166.152344	  533.088144	    0.003517	  -22.457249	    4.860142
23982.318359	  591.127838	    0.003051	  -18.873102	    4.239582
26589.650391	  679.399072	    0.004205	  -19.648754	   -1.776860
28467.837891	  745.176752	    0.003706	  -23.221020	    1.513882
31186.158203	  869.728223	    0.013861	  -25.322041	    3.677617
33629.085938	  969.318106	    0.023004	  -22.632002	    0.454019
35958.488281	 1083.898653	    0.045943	  -18.845922	    0.299927
39573.371094	 1293.961514	    0.153171	  -34.861435	    0.535366
42554.109375	 1509.635538	    0.521917	  -46.583076	    4.641621
47871.210938	 1912.284867	         nan	  -41.499397	    8.300092
