  839.000000	  322.737875	    5.998407
  210.000000	  322.429398	    6.016497	    3.540887	    5.056910
  515.000000	  321.930736	    6.057742	    2.910144	    2.910144
  819.000000	  321.277901	    6.098467	    5.346276	    3.086674
 1124.000000	  320.692939	    6.095150	    6.767891	    2.463311
 1429.000000	  320.064409	    6.135176	    5.478319	    3.835961
 1576.000000	  319.727282	    6.150896	    5.056910	    3.540887
 1734.000000	  319.801102	    6.003176	    2.950739	    4.214092
 2039.000000	  319.902712	    5.748370	    1.597780	    5.962996
 2343.000000	  320.083081	    5.500336	   -0.582880	    6.662344
 2648.000000	  320.125249	    5.259666	   -0.714660	    4.053040
 2789.000000	  320.172316	    5.153571	   -3.637472	    4.334970
 2953.000000	  321.096895	    4.952565	   -6.956829	    1.864077
 2993.000000	  321.314499	    4.902523	   -7.017646	    1.620151
 3159.000000	  321.335212	    4.782770	   -7.687320	    0.672553
 3258.000000	  321.767757	    4.155509	   -8.231130	   -0.000000
 3563.000000	  323.146714	    2.622686	   -7.251311	   -2.639262
 3778.000000	  324.087751	    1.872682	   -3.098082	   -3.440768
 3867.000000	  324.174140	    1.862318	   -1.543337	   -2.673138
 4172.000000	  324.264562	    1.855939	   -0.714660	   -4.053040
 4311.000000	  324.318583	    1.841588	    0.703803	   -1.933683
 4477.000000	  324.593140	    1.818607	    0.134511	   -1.537464
 4782.000000	  325.041307	    1.781932	   -2.546376	   -2.546376
 4807.000000	  325.089689	    1.772370	   -2.455958	   -2.633692
 5022.000000	  326.709914	    1.308388	   -1.739313	   -3.729969
 5087.000000	  327.010845	    1.273597	   -1.407606	   -3.867366
 5089.000000	  327.031514	    1.273879	   -1.407606	   -3.867366
 5312.000000	  327.492353	    0.847602	   -1.276204	   -4.450652
 5391.000000	  327.718066	    0.897235	   -1.198335	   -4.472247
 5682.000000	  328.775330	    1.110051	   -4.519400	   -3.405612
 5696.000000	  328.826960	    1.082203	   -4.635501	   -3.245813
 5937.000000	  329.658989	    0.668308	   -3.036195	   -5.958867
 6001.000000	  329.960031	    0.838481	   -2.463311	   -6.767891
 6011.000000	  330.077822	    0.863473	   -1.997225	   -7.453745
 6104.000000	  331.005447	    1.132753	   -1.864077	   -6.956829
 6306.000000	  331.904375	    0.682666	   -1.464632	   -5.466080
 6611.000000	  333.223592	    0.301155	   -0.446663	   -2.533150
 6915.000000	  334.510894	    0.123487	   -2.645434	   -3.152706
 7116.000000	  335.388505	    0.065405	   -3.715213	   -4.930255
 7220.000000	  335.812662	    0.082138	   -4.131035	   -5.899729
 7525.000000	  336.908855	    0.153808	    0.803993	   -4.559670
 7830.000000	  337.979562	    0.282945	    0.665742	   -2.484582
 7906.000000	  338.310258	    0.328076	    1.589755	   -2.645796
 8091.000000	  338.606770	    0.255493	    3.383945	   -1.231655
 8135.000000	  338.656742	    0.243620	    3.478414	   -0.932038
 8439.000000	  339.209514	    0.171287	    6.459912	   -1.730928
 8719.000000	  339.674743	    0.122507	    5.116274	   -0.537742
 8744.000000	  339.739954	    0.120141	    5.124880	   -0.448369
 9025.000000	  340.236736	    0.094469	    6.097343	    0.965724
 9049.000000	  340.424638	    0.100577	    6.079561	    1.071991
 9287.000000	  341.668648	    0.183343	    6.935710	    3.382772
 9341.000000	  341.555787	    0.154138	    7.128368	    4.115565
 9354.000000	  341.602529	    0.150952	    6.459912	    1.730928
 9659.000000	  342.307482	    0.080700	    7.585365	    5.311330
 9728.000000	  342.392090	    0.069560	    7.093588	    5.952227
 9871.000000	  342.365463	    0.067652	    5.737614	    6.600370
 9963.000000	  342.664520	    0.065293	    4.721182	    6.742547
10192.000000	  343.472422	    0.059694	    7.401224	    7.147279
10268.000000	  343.822653	    0.051913	    8.275853	    6.944265
10404.000000	  344.482549	    0.039989	    6.291041	    6.075187
10573.000000	  344.716167	    0.037477	    4.298831	    5.123147
10811.000000	  345.035102	    0.034553	    3.587416	   -0.313858
10878.000000	  345.124088	    0.033564	    3.546410	   -0.625328
11183.000000	  345.554544	    0.029624	    2.533150	   -0.446663
11236.000000	  345.589459	    0.029086	    2.291872	   -1.167767
11303.000000	  345.681124	    0.023673	    1.687534	   -1.941285
11487.000000	  347.639397	    0.022460	   -0.879754	   -2.417104
11544.000000	  348.201871	    0.022047	   -1.349003	   -3.338900
11614.000000	  349.327838	    0.022297	   -2.092439	   -4.699695
11685.000000	  350.470377	    0.022554	   -2.706217	   -5.548568
11792.000000	  351.553695	    0.020261	   -4.115565	   -7.128368
12402.000000	  357.538533	    0.010788	    0.992038	   -1.182265
12601.000000	  359.461738	    0.008788	   -3.306793	   -3.940882
12707.000000	  360.743597	    0.008550	   -1.231655	   -3.383945
12851.000000	  362.287099	    0.008117	   -1.995266	   -3.599554
13011.000000	  363.663506	    0.008593	   -3.306793	   -3.940882
13022.000000	  363.811864	    0.008605	   -3.237511	   -3.997993
13243.000000	  365.839802	    0.006581	   -2.391555	   -5.128707
13316.000000	  367.265959	    0.006763	   -3.086674	   -5.346276
13379.000000	  368.553042	    0.006941	   -2.802641	   -5.500493
13425.000000	  369.354684	    0.006994	   -2.391555	   -5.128707
13621.000000	  372.448757	    0.005817	   -1.331483	   -4.969163
13757.000000	  374.469398	    0.005085	   -1.654503	   -5.411635
13855.000000	  376.577992	    0.005334	   -2.009845	   -5.837015
13926.000000	  378.370890	    0.005656	   -2.111409	   -5.801049
13955.000000	  379.093727	    0.005774	   -1.907669	   -5.871202
14160.000000	  381.673207	    0.004638	   -0.448369	   -5.124880
14231.000000	  382.347243	    0.004471	   -0.000000	   -4.630011
14265.000000	  382.830586	    0.004427	    0.242316	   -4.623665
14426.000000	  386.508296	    0.004847	    1.339897	   -3.891343
14536.000000	  389.274908	    0.004484	    1.800560	   -3.118661
14821.000000	  396.441904	    0.004699	    1.985206	   -6.923236
14840.000000	  397.151401	    0.004789	    1.864077	   -6.956829
15061.000000	  405.156918	    0.005919	   -0.000000	   -6.687793
15123.000000	  406.709258	    0.006171	    4.239939	   -7.649053
15145.000000	  406.986138	    0.006003	    5.952227	   -7.093588
